dominant_topic;topic_perc_contribution;topic_Keywords;clean_review;original_review;polarity_score
Topic 1;0.59;ride, bug, guest, path, work, break, people, money, issue, campaign;['', '', 'breaking_bugs', '', 'level', 'park', 'experiencing', 'issue', 'bug', '', '', '', 'crash', 'instability', 'issue', '', 'blight', 'bug', '', 'ruin', 'experience', 'experience', 'bug', 'list', 'sandbox_mode', 'janitor', 'priority', 'pathe', 'broken', 'prioritisation', 'pathing', 'broken', 'ride', 'track', 'little', 'janitor', '', '', 'area', 'result', 'huge', 'pile', 'sick', 'unemptied', 'trash', 'can', 'add', 'janitor', 'solve', 'issue', 'partial', 'workaround', 'placing', 'staff', 'building', '', '', '', '', '', 'sort', 'delete', 'break', 'need', 'able', 'allow', 'specify', 'zone', 'path', 'janitor', 'responsible', 'rollercoaster', 'huge', 'issue', 'certain', 'complexity', 'break', 'start', 'fail', 'spectacular', 'way', 'ride', 'camera', 'jittery', 'absolute', 'misery', 'guest', 'break', 'guest', 'visit', 'area', 'park', 'sudden', 'popular', 'ride', 'single', 'heartbeat', 'max', 'capacity', 'use', 'cause', 'huge', 'profit', 'issue', 'stable', 'park', 'visitor', 'break', 'create', 'park', 'appeal', 'demographic', 'moment', 'guest', 'type', 'get', 'angry', 'start', 'leave', 'park', 'stupid', '', '', 'difficult', 'manage', 'feel', 'intuitive', 'way', 'money', 'ridiculous', '', 'cheap', 'purchasing', 'ride', 'dumb', 'money', 'need', 'rework', '', 'make', 'feel', 'reasonable', 'coaster', 'cost', 'build', 'land', 'overall', 'lovely', 'huge', 'issue', 'miss', 'patch', 'come', 'pickup', 'tone', 'resolve', 'disappointment', 'form', 'limbic'];"Like everybody currently, there are just so many game breaking bugs that you really cant get over a level 5 park without experiencing some issues and bugs.

I havent personally had any crashes or instability issues thankfully, however, there are a blight of in-game bugs that completely ruin the experience.

Experienced Bug List - Sandbox Mode:

- Janitors priorities and pathing is just broken. There seems to be no prioritisation system and the pathing is just broken. Have a ride off track a little? Well, the janitors wont go over to that area, resulting in huge piles of sick and unemptied trash cans. Adding more janitors does not solve this issue. Only partial workaround is keep placing a staff building near the problem area and hope they will sort it out. Once sorted delete. Its broken and needs to be able to have a system that allows us to specify zones, or paths that janitors are responsible for.

- Rollercoasters have a huge issue where after a certain complexity, they just break and start failing in spectacular ways. The ride camera is also jittery and an absolute misery. 

- Guest AI just breaks after a while with guests not visiting areas of the park all of a sudden. Have a popular ride? Well, in a single heartbeat, it will go from being max capacity to not used at all causing huge profit issue for what was a stable park. 

- The visitor system is just broken too, you have to create parks that appeal to a demographic, however the moment you do, every other guest type gets angry and starts leaving the park. Its a stupid system and one that is incredibly difficult to manage around. It does not feel intuitive in any way.

- Money system is also ridiculous, why is everything so damn cheap? Purchasing a ride for $300 is just dumb and the money system need to be reworked entirely to make it feel more reasonable. A coaster should not cost 2k to build and land should not be 3k.

Overall, its a lovely game with huge issues. Give it a miss until the patches come in and then pickup once the tone on the game resolves itself. Such a disappointment form Limbic.";0.013505291005291013
Topic 1;0.47;ride, bug, guest, path, work, break, people, money, issue, campaign;['poor', 'attempt', 'theme_park', 'path', 'creation', 'terrible', 'unnecessary', 'limit', 'path', 'cross', 'guest', 'dumb', '', '', 'stick', 'shop', '', 'slow', 'sell', 'item', 'camera', 'angle', 'terrible', 'mechanic', 'create', 'ride', 'frustrating', 'good', 'water', 'ride', 'roller_coaster', 'type', 'transport', 'ride', 'limited', 'customization', 'overall', 'wooden', 'roller_coasters', 'log', 'ride', 'theme_park'];Poor attempt at a theme park game. The path creation is beyond terrible, with unnecessary limits on where paths can cross. The guests are dumb and slow, and frequently get stuck. The shops are way too slow to sell items. The camera angles are terrible. The mechanics for creating rides is frustrating at best. There are no water rides, very few roller coaster types, no transport rides, and very limited customization overall. How do you not have wooden roller coasters and log rides in your theme park game?;-0.24869747899159667
Topic 1;0.68;ride, bug, guest, path, work, break, people, money, issue, campaign;['humorous', 'buggy', 'fun', '', 'good', 'way', 'get', 'humor', 'entertain', 'component', '', 'time', 'reasonable', 'bit', 'depth', 'goodness', 'buggy', 'update', 'today', '', 'tonight', 'issue', 'people', 'glide', 'move', 'ride', '', '', 'ride', 'elevate', 'inclined', 'ramp', 'place', 'path', 'fine', 'work', 'texture', 'path', 'ground', 'path', 'tend', '', '', 'ground', 'texture', '', 'confident', 'pathing', 'issue', 'update', 'today', 'see', 'issue', 'people', 'park', '', 'campaign', '', 'delete', 'path', 'rebuild', 'use', 'sudden', 'obvious', 'error', 'employee', 'issue', 'able', 'delete', 'stuff', 'thing', 'delete', 'mode', 'highlight', 'stuff', 'delete', 'ride', '', 'rider', 'month', 'profit', 'period', 'time', '', 'hurt', 'overall', 'park', 'finance', 'cause', 'issue', 'complete', 'certain', 'campaign', 'goal', 'fix', 'save', 'reload', 'save', 'let', 'time', 'pass', 'notice', 'brief', 'playtime', 'today', 'restart', 'campaign', '', '', 'buggy', 'sure', '', 'resolve', 'say', 'earn', '', 'buggy', 'fun', 'potential', 'quite', 'people', 'bother', 'bug', 'bug', 'add', 'overall', 'hurt', 'enjoyment', 'get', 'sure', 'clear', 'attention', 'give', 'update', 'release', 'far', 'hope', 'continue'];"Humorous, Buggy, and Fun are probably the best ways for me to describe the game. It's got a lot of humor and entertaining components to it so it doesn't take itself too seriously, while at the same time having a reasonable bit of depth. But goodness is it buggy. As of the update from today (July 17, 2023). Tonight alone I've had issues where people are just gliding around, I moved a ride, but then later I couldn't move anything (the button was there, but did nothing). I had a ride elevated, and inclined ramps below it, and it placed the path fine, it worked, but under it you could see the texture of the path on the ground below it. Paths also tend to glitch and clip with the ground textures.

I'm pretty confident there's some pathing issues too. Both before and after the update today I've seen issues where people just won't go to a part of my park (specifically this is in Campaign 3). But then if I delete some of the path and rebuild it they'll use it all of sudden, with no obvious errors (and employees will still go there).

I've had other issues like not being able to delete stuff (same thing as the move, I could go into Delete mode, I could highlight stuff, but it wouldn't delete). I've had rides show 0 riders over the last X months and thus show no profit for a period of time, seemingly hurting my overall park finances and causing issues completing certain campaign goals. This and others would be fixed just be saving and reloading the save or just letting more time pass. Some of these I hadn't noticed again in my brief playtime today (a restart of Campaign 3) but it's clearly still buggy and I'm not sure if those specifically were resolved.

But that's all to say this earns a 3 out of 5 for me. It's buggy, but it is fun, and there is a lot of potential. I can't quite recommend it for myself and people that would be bothered by these bugs. All of the bugs mostly just add up and overall hurt my enjoyment of the game. Getting better for sure, and there's some clear attention to the game given the updates they've released so far, and I just hope that continues.";0.14778911564625843
Topic 1;0.72;ride, bug, guest, path, work, break, people, money, issue, campaign;['start', 'unplayable', 'try', 'patience', 'persevered', 'launch', 'teethe', 'problem', 'numerous', 'patch', 'change', 'issue', 'park', '', '', 'decide', '', 'want', 'freeze', 'place', 'cause', 'obstruction', 'create', 'unhappy', 'visitor', 'rating', 'vendor', 'shop', 'work', '', 'issue', 'server', 'stand', 'create', 'masse', 'queue', 'create', 'profit', 'loss', 'queue', 'ride', 'freeze', 'leave', 'ride', 'abandon', 'create', 'substantial', 'money', 'loss', 'ride', 'bug', 'imposify', 'roller_coaster', '', 'relevant', 'hook', 'complete', 'task', 'require', 'pass', 'level', 'start', 'vanish', 'path', 'scenery', 'refund', '', '', 'play', 'break'];"Where do I start?
Unplayable.......
I have tried to give the game patience and persevered through the launch and teething problems but after numerous patches, nothing has changed.
Because of AI issues my parks fail - I will get so far and my AI decide they no longer want to move and freeze in place causing an obstruction, therefore creating unhappy visitors and ratings.
None of my vendors or shops work fully, having same issue whereby the server just stands there doing nothing creating masses of queues therefore creating no profits and PS1000s in losses. 
Queues for rides also freeze leaving my rides 'abandoned' again, creating substantial money loss. 
some of the rides bug and don't even move!!! 
Once I imposify a roller-coaster - it doesn't unlock the relevant hooks to complete the tasks required to pass the level. 
and don't get me started on vanishing paths and scenery. 
If I could get a refund I would as I wont be playing the game again, well, because its broke!";-0.18
Topic 1;0.29;ride, bug, guest, path, work, break, people, money, issue, campaign;['baffle', 'huge', 'fan', 'park', 'sim', 'promise', 'glitch', 'break', '', '', 'impossible', 'understand', 'prefab', 'coaster', 'stop', 'work', '', 'go', 'prefab', 'park', 'appeal', 'necessary', 'leveling', 'park', '', 'clean', 'ride', 'rank', 'high', 'fun', 'guest', 'complaint', 'minimal', 'rating', 'rise', 'mention', 'ride', 'ride', 'glitche', '', 'enjoy', 'coaster_building', 'fun', 'coaster', 'stat', 'rating', 'end', 'explanation', 'bad', 'fix', 'issue', 'fun', 'past', 'level', 'begin', 'hand', 'hold', 'wrong', 'reason', '', 'understand', '', '', ''];This game is baffling. I'm a huge fan of park sims, and this has so much promise. But the glitches break gameplay, and the algorithm is impossible to understand. There are prefab coasters that just ... stop. Like they don't work (Merry-Goes-Around), and they're prefabs. Park appeal is necessary for leveling up, but you can't do it. Your park can be fully clean, your rides can rank high on fun, guest complaints can be minimal, but that rating will not rise. And that's not to mention that riding your rides is so glitched out that you can't possibly enjoy it. The coaster building could be fun if you could see any of your coaster's stats, but you can't. You just get ratings at the end with no explanation. Bad game. If they could fix the many, MANY issues, it would be fun. But I can't even get past the first level. The beginning of the game is hand-holding for all the wrong reasons. Nothing to help you understand the algorithm to have a successful park. I'm sad.;-0.012608695652173905
Topic 1;0.53;ride, bug, guest, path, work, break, people, money, issue, campaign;['bug', 'way', '', 'simple', 'thing', 'staff', 'repair', 'ride', 'shop', '', 'bad', 'ride', 'stick', 'need', 'repair', 'let', 'hope', 'bug', 'fix', 'path', 'ride', 'big', 'one'];"I love the game. But the bugs are way to many, plus a simple thing as call staff to repair a ride or shop is not in the game?? Path system is very bad. rides get stuck, even when they do not need repair. 
Let's hope bug will be fixed,  path and rides i see as the biggest ones.";-0.08714285714285712
Topic 1;0.3;ride, bug, guest, path, work, break, people, money, issue, campaign;['little', 'buggy', '', 'ironed'];"little buggy, but im sure those will get ironed out, its a great game none the less
";0.10916666666666668
Topic 1;0.35;ride, bug, guest, path, work, break, people, money, issue, campaign;['big', 'fan', 'rct', 'pour', 'hour', 'promise', 'say', 'need', 'patch', 'fix', 'little', 'problem', 'mechanic', 'see', 'broken', 'ride'];Being a big fan of RCT and pouring many hours into. I can see this game has a lot of promise. That being said this game needs a lot of patching to fix little problems like mechanics not seeing broken rides....;-0.14791666666666667
Topic 1;0.63;ride, bug, guest, path, work, break, people, money, issue, campaign;['let', 'start', 'say', 'gem', 'iron', 'crease', '', 'people', 'comment', 'issue', 'control', 'delete', 'track', 'issue', 'finance', 'make', '', 'roller_coaster', 'world', 'see', '', 'want', 'ride', 'pay', 'peanut', 'ride', 'develop', 'new', 'area', 'migrate', 'new', 'area', 'leave', 'area', 'sparse', 'result', 'want', 'build', 'roller_coasters', 'loose', 'money', 'want', 'develop', 'new', 'area', '', 'impact', 'finance', 'slow', 'expansion', 'possible', 'short', 'enjoy'];"So let me start by saying there is a gem of a game if B.N. can iron out some creases; unlike some people commenting on here I have no issues with the controls or deleting tracks. My issues are with the finances and A.I.; you can make the best roller coaster the world has ever seen yet no one wants to ride it and will only pay peanuts to ride it, the other is whenever you develop a new area everyone migrates to the new area and leaves other areas sparse. This results in you not wanting to build roller-coasters as they loose money, and not wanting to develop new areas as it deeply impacts your finances; though though very slow expansion this is possible. In short I do like the game; but could enjoy it more!!!";0.08639590189222543
Topic 1;0.31;ride, bug, guest, path, work, break, people, money, issue, campaign;['super', 'glitchy', 'bug', '', 'enjoyment', 'playing'];Super glitchy! So many bugs in game which take away from the enjoyment of playing. :(;-0.05833333333333335
