;V1;V2
coaster;4.113904;0.9619014
park;3.4948552;1.2063998
ride;3.8105087;0.6109721
bug;3.4967167;1.1683475
fun;2.1589766;0.36699358
one;2.9794457;0.53470916
time;2.5283132;0.95906204
building;2.2034264;0.47194478
planet;2.0763314;0.48650104
really;2.2201838;0.12198893
path;2.4913347;0.74903107
campaign;3.1233366;0.6793799
make;2.4914238;0.30048034
need;1.8451985;0.7363897
way;1.2939416;0.16936427
theme;1.9631617;0.4894433
issue;2.6904588;0.14795502
thing;2.2247188;0.47280815
money;2.4322226;0.15728919
roller;2.0361855;0.20395193
play;1.4809164;0.69895446
far;1.5236123;0.2368054
guest;2.4490335;0.5656076
price;1.6893072;0.99008316
review;2.3002214;0.9705716
hour;1.9937692;0.78320205
two;1.8790632;0.5518494
work;2.4375367;0.25390267
game;2.4073343;0.18290178
crash;1.8699441;0.9628746
feel;1.976433;0.45608357
fix;1.972257;0.15209395
people;2.0412443;0.61274827
three;2.0942848;0.76073164
played;1.573518;0.5157483
playing;2.3546865;0.8847198
shop;2.6470003;0.17487022
stuck;2.2517576;0.48021895
start;2.3490174;0.39773315
build;1.7282696;-0.022494517
glitch;1.9828185;0.6115156
want;1.9458443;0.7381592
fixed;1.5384023;0.5339563
content;2.1247513;0.17895997
look;2.0596836;0.8411622
breaking;1.7797091;0.41623464
buggy;1.8885872;0.40616953
different;2.5175781;0.73005074
release;1.7310021;0.15437095
update;1.7688974;0.7284065
patch;1.3674647;0.62421924
point;2.2401156;0.762258
think;1.9288102;0.059096377
pretty;1.8726332;0.72431445
mission;1.8991066;0.18736497
let;1.8489392;-0.0013696934
say;1.5395564;0.7742245
overall;2.1594372;0.81787443
hope;1.9428159;0.7623418
making;1.6268913;0.3921482
impossification;2.1698997;0.21940343
actually;2.5030668;-0.043671455
quite;2.208317;0.5875943
complete;1.5775211;0.67280996
tycoon;1.5846164;0.722162
worth;1.9549557;0.13145503
feature;2.0376565;0.19567999
potential;1.6881673;0.48685107
wait;2.0266607;0.6868547
broken;2.1651073;0.86472964
flat;2.0636003;0.019040836
right;1.1789331;0.3682014
bad;1.5357747;0.783065
state;2.0710156;0.3244689
getting;1.9084389;0.5230095
released;1.970697;-0.1365382
object;2.0934687;0.6709758
working;1.8164566;0.8503942
management;2.0879295;0.7268472
reason;1.7159798;0.7972454
future;1.4593458;0.6168043
new;1.4470596;0.12225314
bit;2.0825534;0.69268936
sandbox;2.3273396;0.1502021
mechanic;2.1074383;0.71437067
come;1.6699829;0.0009115003
little;1.9341145;0.70697194
track;1.9262053;0.07727884
customer;1.3054236;0.25342155
developer;1.8910882;0.18460731
change;1.4373465;0.64923173
place;1.7642134;0.040795207
nice;1.3376977;0.19124998
access;1.7530305;-0.11046254
save;1.8054961;0.1361858
buy;1.523229;0.25834188
control;1.8255194;-0.0006270063
got;1.3910137;0.50482637
maybe;1.8748586;0.23885041
experience;0.8684433;0.5210465
dlc;1.6433265;0.54217225
beta;1.2321495;0.3022738
mode;1.8884907;0.7120301
launch;1.225658;0.46125698
devs;1.1816777;0.7000829
use;1.515075;0.23832184
cool;1.8122153;0.34925085
level;1.7730343;0.026990777
able;1.6378608;0.8164037
staff;1.4862416;0.18561709
sure;1.0163753;0.09276183
said;1.4157296;-0.050166994
entrance;1.8724926;0.09586543
day;1.6051567;0.54971987
edit;0.8810831;0.50137764
genre;1.724862;-0.031871986
try;1.1669973;0.24887198
long;0.8122553;0.21687694
looking;1.4323285;0.52273023
problem;1.4536779;0.29007614
going;1.1607813;0.41263118
camera;1.2960902;0.65335
huge;1.467098;0.5141018
frustrating;1.4897717;0.18962371
add;0.9002469;0.20276506
high;1.9805127;0.29672077
trying;0.97969943;-0.077498436
lack;0.92043704;0.039293032
current;1.3209031;0.09037828
stop;1.0662903;0.10983646
line;1.6203836;0.14701132
