;V1;V2
coaster;4.0773826;0.8688468
park;3.4675434;1.1343013
ride;3.747586;0.51526177
bug;3.4675248;1.096379
fun;2.1222203;0.3093922
one;2.9458046;0.47355264
time;2.476328;0.89242554
building;2.154809;0.41111583
planet;2.0372236;0.4391461
really;2.177423;0.0569265
path;2.471539;0.69913256
campaign;3.0690196;0.6131365
make;2.4689245;0.25090098
need;1.8102039;0.686992
way;1.259287;0.12795097
theme;1.930215;0.43722183
issue;2.6362321;0.089683086
thing;2.180901;0.4129524
money;2.3880262;0.10714983
roller;2.002393;0.15740985
play;1.4580864;0.65542686
far;1.4809746;0.1882243
guest;2.3949249;0.5055271
price;1.6306927;0.9376705
review;2.2514122;0.9205808
hour;1.934867;0.72155917
two;1.8316799;0.4992369
work;2.3898208;0.2023682
game;2.3570302;0.12651113
crash;1.8362088;0.91383237
feel;1.926186;0.40467393
fix;1.9280614;0.096290715
people;2.0061586;0.56246847
three;2.0514262;0.70882046
played;1.5507499;0.47604162
playing;2.314853;0.8342292
shop;2.5766315;0.10395057
stuck;2.2119193;0.43347478
start;2.3218012;0.35303435
build;1.6841985;-0.07001173
glitch;1.9465034;0.5605553
want;1.9242365;0.69679666
fixed;1.5118215;0.49154115
content;2.0949528;0.13578355
look;2.032137;0.7892988
breaking;1.744011;0.37585148
buggy;1.8593646;0.3658823
different;2.4820716;0.6792808
release;1.6858344;0.102924146
update;1.7364354;0.6868232
patch;1.3260534;0.5782261
point;2.1868181;0.71092963
think;1.9059647;0.016702374
pretty;1.8401649;0.6821136
mission;1.8539523;0.13742381
let;1.8099583;-0.04631882
say;1.5045478;0.7291599
overall;2.127854;0.76949877
hope;1.9122515;0.7240709
making;1.5969715;0.34931725
impossification;2.1307247;0.17073509
actually;2.455675;-0.09582297
quite;2.1697757;0.5420503
complete;1.538569;0.62943614
tycoon;1.5475553;0.6791153
worth;1.930488;0.094907016
feature;2.000638;0.14661795
potential;1.6496353;0.4437338
wait;1.9867109;0.64745784
broken;2.126665;0.8249489
flat;2.0361013;-0.01927922
right;1.1564151;0.32746342
bad;1.494739;0.73972607
state;2.0317366;0.28356618
getting;1.8698063;0.47893786
released;1.9286091;-0.17735378
object;2.0399754;0.6170742
working;1.7835984;0.8061476
management;2.047187;0.68288827
reason;1.6863915;0.7562701
future;1.4101077;0.5677091
new;1.3935941;0.07758835
bit;2.043021;0.64754385
sandbox;2.291416;0.10515458
mechanic;2.0748405;0.6724758
come;1.6329043;-0.044122748
little;1.9010736;0.6660205
track;1.8695117;0.026315823
customer;1.2561142;0.21160664
developer;1.8610841;0.15011698
change;1.3987038;0.6036857
place;1.735942;0.0034996176
nice;1.3071035;0.1596415
access;1.7105337;-0.15364052
save;1.7695382;0.09620946
buy;1.4869151;0.22104831
control;1.7815343;-0.043489996
got;1.3506277;0.4664047
maybe;1.8383846;0.19720119
experience;0.82655364;0.48644188
dlc;1.607329;0.50441825
beta;1.1937833;0.26305723
mode;1.8612742;0.67618364
launch;1.2019176;0.42341593
devs;1.1611041;0.66327804
use;1.4782101;0.19451736
